dutch_name;color;behavior;shape;habitat;when_to_spot;rarity;characteristics;image_credit;image_author_reference;image_wikimedia_source;image_license;image_license_url
aalscholver;2;5;9;2&6&10;Gehele jaar;1;5&6&7;Ruben van Kuik;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
alk;;;;10;Winterhalfjaar;;;;;;;
appelvink;8;;9;1;Gehele jaar;;;Marek Szczepanek;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
baardman;14;;11;5;Gehele jaar;;;Smudge 9000;;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
beflijster;3;;;;Voor- en najaar;;;Andreas Trepte;www.avi-fauna.info;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
bergeend;;;6;7&8;Gehele jaar;;;Kathy2408;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
bijeneter;8;;;;Voorjaar;4;;Pierre Dalous;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
bladkoning;7;;;;Najaar;;;Hugh Venables;;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
blauwborst;8;2;;5;Zomerhalfjaar;2;;Bogomolov.PL;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
blauwe kiekendief;13;;2;7;Gehele jaar;;;Isle of Man Government;;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
blauwe reiger;;9;10;2&4;Gehele jaar;;;Savithri Singh;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
boerenzwaluw;11;1;;4;Zomerhalfjaar;;;Charles J. Sharp;www.sharpphotography.co.uk;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
bokje;;7;;4;Winterhalfjaar;;;Marek Szczepanek;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
bontbekplevier;;7&8;;8;Gehele jaar;;;Andreas Trepte;http://foto.andreas-trepte.de/;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
bonte kraai;7;;;;Winterhalfjaar;;;Dion Art;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
bonte strandloper;;8;;8;Gehele jaar;;;Mdf;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
bonte vliegenvanger;3&6;;;2;Zomerhalfjaar;;;Mark Medcalf;;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
boomklever;8&12&14;6;;1&2;Gehele jaar;1;;Pawe? Ku?niar;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
boomkruiper;6;6;9;1&2;Gehele jaar;1;;Charles J. Sharp;www.sharpphotography.co.uk;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
boomleeuwerik;4;2;;3;Gehele jaar;;;;;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
boompieper;4;2;;3;Zomerhalfjaar;;;Marek Szczepanek;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
boomvalk;11;1;2;3;Zomerhalfjaar;;;Mike Prince;;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
bosrietzanger;;;;5;Zomerhalfjaar;;;;;;;
bosruiter;13;7;;;Zomerhalfjaar;;;Marek Szczepanek;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
bosuil;5;;1;2;Gehele jaar;;;Chrumps;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
braamsluiper;6;10;;2;Zomerhalfjaar;;;Ekytza;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
brandgans;;;7;;Gehele jaar;;;Andrey;;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
brilduiker;3;5;6;;Winterhalfjaar;;;Adrian Pingstone;;;;
bruine kiekendief;;;2;5;Zomerhalfjaar;;;Kaeptn chemnitz;;;CC BY 3.0;https://creativecommons.org/licenses/by/3.0/
buidelmees;14;;;;Gehele jaar;;;Marek Szczepanek;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
buizerd;1&5;;2;3&4;Gehele jaar;1;;Yves Hoebeke;https://www.flickr.com/people/60322572@N04;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
casarca;;;6;;Gehele jaar;;;;;;;
cetti's zanger;;;;5;Gehele jaar;;;Mark S Jobling;;;CC BY 3.0;https://creativecommons.org/licenses/by/3.0/
dodaars;11;5;;6;Gehele jaar;;;Laitche;https://commons.wikimedia.org/wiki/User:Laitche;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
draaihals;4;10;;3;Zomerhalfjaar;;;Martien Brand;;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
drieteenmeeuw;;;4;10;Gehele jaar;;;Hans Hillewaert;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
drieteenstrandloper;;8;;9;Gehele jaar;;;Hans Hillewaert;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
dwerggans;;;7;;Winterhalfjaar;;;Ken Billington;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
dwergmeeuw;;;4;;Zomerhalfjaar;;;Ekaterina Chernetsova (Papchinskaya);;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
dwergstern;;4;;9;Zomerhalfjaar;;;JJ Harrison;https://www.jjharrison.com.au;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
eider;3;5;6;8;Gehele jaar;;;BS Thurner Hof;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
ekster;3;;11;1&2;Gehele jaar;1;;Skarabeusz;;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
europese kanarie;10;;;;Gehele jaar;4;;Charles J. Sharp;www.sharpphotography.co.uk;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
fazant;5&8&11;;11;3&5&7;Gehele jaar;1;;ChrisO;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
fitis;7;;;2&7;Zomerhalfjaar;;;Aviceda;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
flamingo;;9;;;Gehele jaar;;;Yathin S Krishnappa;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
fluiter;7;;;3;Zomerhalfjaar;;;Steve Garvie;;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
frater;4;;;9;Winterhalfjaar;;;Mike Pennington;www.geograph.org.uk;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
fuut;;5;10;2&6&10;Gehele jaar;;;JJ Harrison;www.jjharrison.com.au;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
gaai;8&13;;10;1&2;Gehele jaar;1;;Luc Viatour;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
